Date,Open,High,Low,Close,Adj_close,Volume,Normalized_sentiment
1962-01-02,6.53215504,6.55618477,6.53215504,6.53215504,1.53665757,55900,0.5
1962-01-03,6.53215504,6.63227987,6.52414513,6.63227987,1.56021178,74500,0.5
1962-01-04,6.63227987,6.66431999,6.63227987,6.63227987,1.56021178,80500,0.5
1962-01-05,6.63227987,6.65631008,6.61626005,6.62426996,1.55832648,70500,0.5
1962-01-08,6.60825014,6.60825014,6.3399148,6.40799999,1.50745034,93800,0.5
1962-01-09,6.40799999,6.50812483,6.3559351,6.3559351,1.49520242,64500,0.5
1962-01-10,6.3559351,6.40799999,6.3399148,6.36394501,1.49708712,34500,0.5
1962-01-11,6.34792519,6.34792519,6.32389498,6.3399148,1.49143362,27900,0.5
1962-01-12,6.3399148,6.34792519,6.20774984,6.20774984,1.46034312,26500,0.5
1962-01-15,6.13966513,6.13966513,6.05556011,6.05556011,1.4245404,64500,0.5
1962-01-16,6.03953981,6.03953981,6.00750017,6.00750017,1.41323447,27900,0.5
1962-01-17,6.00750017,6.02351999,6.00750017,6.00750017,1.41323447,79900,0.5
1962-01-18,6.00750017,6.00750017,6.00750017,6.00750017,1.41323447,89800,0.5
1962-01-19,6.00750017,6.0475502,6.00750017,6.02351999,1.4170028,100400,0.5
1962-01-22,6.03953981,6.13165522,6.03953981,6.03953981,1.42077172,69900,0.5
1962-01-23,6.03953981,6.11563492,6.01551008,6.01551008,1.41511905,34500,0.5
1962-01-24,6.01551008,6.01551008,5.83929014,5.9554348,1.40098608,45900,0.5
1962-01-25,5.9554348,5.96344519,5.91538477,5.91538477,1.39156508,37900,0.5
1962-01-26,5.91538477,5.93140507,5.91538477,5.93140507,1.39533436,37900,0.5
1962-01-29,5.93140507,5.9554348,5.91538477,5.92339516,1.39344859,42500,0.5
1962-01-30,5.93140507,5.96344519,5.93140507,5.96344519,1.40287101,30500,0.5
1962-01-31,5.96344519,6.00750017,5.94742489,5.9554348,1.40098608,55900,0.5
1962-02-01,5.94742489,5.94742489,5.85530996,5.93140507,1.39533436,67900,0.5
1962-02-02,5.93140507,5.9554348,5.90737486,5.91538477,1.39156508,30500,0.5
1962-02-05,5.93941498,5.96344519,5.93941498,5.93941498,1.39721799,72500,0.5
1962-02-06,5.91538477,5.91538477,5.82326984,5.85530996,1.38443482,40500,0.5
1962-02-07,5.86331987,5.93941498,5.86331987,5.91538477,1.39863992,45900,0.5
1962-02-08,5.91538477,5.93140507,5.83929014,5.86331987,1.38632929,51900,0.5
1962-02-09,5.86331987,5.92339516,5.82326984,5.82326984,1.3768599,33900,0.5
1962-02-12,5.82326984,5.83128023,5.81525993,5.81525993,1.37496543,16600,0.5
1962-02-13,5.85530996,5.91538477,5.85530996,5.86331987,1.38632929,62500,0.5
1962-02-14,5.83929014,5.83929014,5.74717522,5.80725002,1.37307131,56500,0.5
1962-02-15,5.80725002,5.90737486,5.73916483,5.73916483,1.35697401,62500,0.5
1962-02-16,5.73916483,5.83128023,5.73916483,5.83128023,1.37875354,55900,0.5
1962-02-19,5.83929014,5.90737486,5.83929014,5.86331987,1.38632929,29900,0.5
1962-02-20,5.86331987,5.96344519,5.84730005,5.96344519,1.41000271,40500,0.5
1962-02-21,6.00750017,6.13165522,6.00750017,6.0315299,1.42610073,56500,0.5
1962-02-23,6.0315299,6.06357002,6.02351999,6.05556011,1.43178236,72500,0.5
1962-02-26,6.05556011,6.10762501,5.9554348,6.10762501,1.44409263,82500,0.5
1962-02-27,6.10762501,6.12364483,6.10762501,6.10762501,1.44409263,27900,0.5
1962-02-28,6.10762501,6.22377014,6.03953981,6.03953981,1.42799437,47900,0.5
1962-03-01,6.03953981,6.30787516,6.02351999,6.25580978,1.47912908,74500,0.5
1962-03-02,6.25580978,6.3559351,6.25580978,6.33190489,1.49712014,41900,0.5
1962-03-05,6.33190489,6.4320302,6.33190489,6.42401981,1.51890063,56500,0.5
1962-03-06,6.4320302,6.50812483,6.4320302,6.46406984,1.52837098,75900,0.5
1962-03-07,6.46406984,6.52414513,6.44805002,6.44805002,1.52458262,45900,0.5
1962-03-08,6.44805002,6.46406984,6.42401981,6.44805002,1.52458262,41900,0.5
1962-03-09,6.44805002,6.50812483,6.44805002,6.46406984,1.52837098,72500,0.5
1962-03-12,6.52414513,6.64830017,6.52414513,6.63227987,1.56814265,54500,0.5
1962-03-13,6.63227987,6.64830017,6.56419516,6.64028978,1.57003593,36500,0.5
1962-03-14,6.64028978,6.65631008,6.64028978,6.64830017,1.57193089,55900,0.5
1962-03-15,6.64830017,6.7243948,6.64830017,6.64830017,1.57193089,41900,0.5
1962-03-16,6.66431999,6.7243948,6.66431999,6.70837498,1.58613503,50500,0.5
1962-03-19,6.65631008,6.65631008,6.44805002,6.50812483,1.53878725,75900,0.5
1962-03-20,6.50812483,6.54016495,6.50812483,6.52414513,1.54257536,25900,0.5
1962-03-21,6.52414513,6.64028978,6.52414513,6.62426996,1.56624746,42500,0.5
1962-03-22,6.64028978,6.76444483,6.64028978,6.76444483,1.59939194,57900,0.5
1962-03-23,6.76444483,6.84053993,6.73240519,6.7404151,1.59371018,65900,0.5
1962-03-26,6.7404151,6.75643492,6.7404151,6.7404151,1.59371018,32500,0.5
1962-03-27,6.7404151,6.7404151,6.62426996,6.62426996,1.56624746,43900,0.5
1962-03-28,6.62426996,6.64028978,6.56419516,6.60825014,1.56245971,36500,0.5
1962-03-29,6.54817486,6.54817486,6.45605993,6.45605993,1.52647531,32500,0.5
1962-03-30,6.44805002,6.44805002,6.31588507,6.36394501,1.50469673,63900,0.5
1962-04-02,6.36394501,6.40799999,6.3399148,6.34792519,1.50090837,38500,0.5
1962-04-03,6.34792519,6.52414513,6.3399148,6.52414513,1.54257536,22500,0.5
1962-04-04,6.53215504,6.56419516,6.53215504,6.53215504,1.54446876,14600,0.5
1962-04-05,6.53215504,6.53215504,6.40799999,6.45605993,1.52647531,85800,0.5
1962-04-06,6.46406984,6.54817486,6.46406984,6.46406984,1.52837098,43900,0.5
1962-04-09,6.44004011,6.44004011,6.40799999,6.44004011,1.52268863,35900,0.5
1962-04-10,6.44004011,6.45605993,6.3559351,6.40799999,1.51511288,8600,0.5
1962-04-11,6.40799999,6.44004011,6.31588507,6.31588507,1.49333465,38500,0.5
1962-04-12,6.31588507,6.3399148,6.30787516,6.33190489,1.49712014,52500,0.5
1962-04-13,6.33190489,6.3559351,6.30787516,6.33190489,1.49712014,63900,0.5
1962-04-16,6.33190489,6.34792519,6.30787516,6.34792519,1.50090837,37900,0.5
1962-04-17,6.34792519,6.4160099,6.3399148,6.4160099,1.51700854,45900,0.5
1962-04-18,6.4160099,6.44805002,6.3399148,6.3559351,1.50280321,41900,0.5
1962-04-19,6.3559351,6.44805002,6.3399148,6.34792519,1.50090837,55900,0.5
1962-04-23,6.3559351,6.44004011,6.3559351,6.42401981,1.51890063,78500,0.5
1962-04-24,6.44004011,6.50812483,6.44004011,6.44004011,1.52268863,46500,0.5
1962-04-25,6.44004011,6.44004011,6.23978996,6.23978996,1.47534192,51900,0.5
1962-04-26,6.23978996,6.23978996,6.14767504,6.14767504,1.45356131,65900,0.5
