Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2009-08-10,3.16666667,3.16666667,2009-08-10,0,3.16666667
2009-08-11,,3.16666667,2009-08-10,1,3.10108844
2009-08-12,,3.16666667,2009-08-10,2,3.06131324
2009-08-13,,3.16666667,2009-08-10,3,3.03718836
2009-08-14,,3.16666667,2009-08-10,4,3.02255588
2009-08-15,,3.16666667,2009-08-10,5,3.01368083
2009-08-16,,3.16666667,2009-08-10,6,3.00829784
2009-08-17,,3.16666667,2009-08-10,7,3.0050329
2009-08-18,,3.16666667,2009-08-10,8,3.00305261
2009-08-19,,3.16666667,2009-08-10,9,3.0018515
2009-08-20,,3.16666667,2009-08-10,10,3.00112299
2009-08-21,,3.16666667,2009-08-10,11,3.00068113
2009-08-22,,3.16666667,2009-08-10,12,3.00041313
2009-08-23,,3.16666667,2009-08-10,13,3.00025057
2009-08-24,,3.16666667,2009-08-10,14,3.00015198
2009-08-25,,3.16666667,2009-08-10,15,3.00009218
2009-08-26,,3.16666667,2009-08-10,16,3.00005591
2009-08-27,,3.16666667,2009-08-10,17,3.00003391
2009-08-28,,3.16666667,2009-08-10,18,3.00002057
2009-08-29,,3.16666667,2009-08-10,19,3.00001248
2009-08-30,,3.16666667,2009-08-10,20,3.00000757
2009-08-31,,3.16666667,2009-08-10,21,3.00000459
2009-09-01,,3.16666667,2009-08-10,22,3.00000278
2009-09-02,,3.16666667,2009-08-10,23,3.00000169
2009-09-03,2.0,2.0,2009-09-03,0,2.0
2009-09-04,,2.0,2009-09-03,1,2.39346934
2009-09-05,,2.0,2009-09-03,2,2.63212056
2009-09-06,,2.0,2009-09-03,3,2.77686984
2009-09-07,,2.0,2009-09-03,4,2.86466472
2009-09-08,,2.0,2009-09-03,5,2.917915
2009-09-09,,2.0,2009-09-03,6,2.95021293
2009-09-10,,2.0,2009-09-03,7,2.96980262
2009-09-11,,2.0,2009-09-03,8,2.98168436
2009-09-12,,2.0,2009-09-03,9,2.988891
2009-09-13,,2.0,2009-09-03,10,2.99326205
2009-09-14,,2.0,2009-09-03,11,2.99591323
2009-09-15,,2.0,2009-09-03,12,2.99752125
2009-09-16,,2.0,2009-09-03,13,2.99849656
