Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2009-08-10,2.4166666666666665,2.4166666666666665,2009-08-10,0,2.4166666666666665
2009-08-11,,2.4166666666666665,2009-08-10,1,2.6461904485009637
2009-08-12,,2.4166666666666665,2009-08-10,2,2.7854036593166587
2009-08-13,,2.4166666666666665,2009-08-10,3,2.869840739913416
2009-08-14,,2.4166666666666665,2009-08-10,4,2.921054418111976
2009-08-15,,2.4166666666666665,2009-08-10,5,2.952117084136059
2009-08-16,,2.4166666666666665,2009-08-10,6,2.970957543452079
2009-08-17,,2.4166666666666665,2009-08-10,7,2.982384859670314
2009-08-18,,2.4166666666666665,2009-08-10,8,2.989315877314905
2009-08-19,,2.4166666666666665,2009-08-10,9,2.993519752019359
2009-08-20,,2.4166666666666665,2009-08-10,10,2.9960695309172003
2009-08-21,,2.4166666666666665,2009-08-10,11,2.9976160499942295
2009-08-22,,2.4166666666666665,2009-08-10,12,2.998554061230278
2009-08-23,,2.4166666666666665,2009-08-10,13,2.9991229938040966
2009-08-24,,2.4166666666666665,2009-08-10,14,2.9994680688534263
2009-08-25,,2.4166666666666665,2009-08-10,15,2.9996773674507473
2009-08-26,,2.4166666666666665,2009-08-10,16,2.999804313467057
2009-08-27,,2.4166666666666665,2009-08-10,17,2.9998813101180772
2009-08-28,,2.4166666666666665,2009-08-10,18,2.9999280109476163
2009-08-29,,2.4166666666666665,2009-08-10,19,2.9999563364325654
2009-08-30,,2.4166666666666665,2009-08-10,20,2.9999735167076387
2009-08-31,,2.4166666666666665,2009-08-10,21,2.9999839370712125
2009-09-01,,2.4166666666666665,2009-08-10,22,2.9999902573412056
2009-09-02,,2.4166666666666665,2009-08-10,23,2.999994090778734
2009-09-03,3.0,3.0,2009-09-03,0,3.0
2009-09-04,,3.0,2009-09-03,1,3.0
2009-09-05,,3.0,2009-09-03,2,3.0
2009-09-06,,3.0,2009-09-03,3,3.0
2009-09-07,,3.0,2009-09-03,4,3.0
2009-09-08,,3.0,2009-09-03,5,3.0
2009-09-09,,3.0,2009-09-03,6,3.0
2009-09-10,,3.0,2009-09-03,7,3.0
2009-09-11,,3.0,2009-09-03,8,3.0
2009-09-12,,3.0,2009-09-03,9,3.0
2009-09-13,,3.0,2009-09-03,10,3.0
2009-09-14,,3.0,2009-09-03,11,3.0
2009-09-15,,3.0,2009-09-03,12,3.0
2009-09-16,,3.0,2009-09-03,13,3.0
2009-09-17,,3.0,2009-09-03,14,3.0
2009-09-18,1.75,1.75,2009-09-18,0,1.75
2009-09-19,,1.75,2009-09-18,1,2.2418366753592083
2009-09-20,,1.75,2009-09-18,2,2.540150698535697
2009-09-21,2.25,2.25,2009-09-21,0,2.25
2009-09-22,,2.25,2009-09-21,1,2.545102005215525
2009-09-23,4.0,4.0,2009-09-23,0,4.0
2009-09-24,,4.0,2009-09-23,1,3.606530659712633
2009-09-25,,4.0,2009-09-23,2,3.3678794411714423
2009-09-26,,4.0,2009-09-23,3,3.22313016014843
2009-09-27,,4.0,2009-09-23,4,3.135335283236613
2009-09-28,,4.0,2009-09-23,5,3.0820849986238987
2009-09-29,,4.0,2009-09-23,6,3.049787068367864
2009-09-30,,4.0,2009-09-23,7,3.0301973834223186
2009-10-01,,4.0,2009-09-23,8,3.018315638888734
2009-10-02,,4.0,2009-09-23,9,3.0111089965382423
2009-10-03,,4.0,2009-09-23,10,3.0067379469990856
2009-10-04,2.25,2.25,2009-10-04,0,2.25
2009-10-05,,2.25,2009-10-04,1,2.545102005215525
2009-10-06,,2.25,2009-10-04,2,2.7240904191214184
2009-10-07,2.8181818181818183,2.8181818181818183,2009-10-07,0,2.8181818181818183
2009-10-08,3.2857142857142856,3.2857142857142856,2009-10-08,0,3.2857142857142856
2009-10-09,2.5,2.5,2009-10-09,0,2.5
2009-10-10,,2.5,2009-10-09,1,2.6967346701436834
2009-10-11,,2.5,2009-10-09,2,2.8160602794142786
2009-10-12,,2.5,2009-10-09,3,2.888434919925785
2009-10-13,2.5,2.5,2009-10-13,0,2.5
2009-10-14,4.5,4.5,2009-10-14,0,4.5
2009-10-15,,4.5,2009-10-14,1,3.9097959895689502
2009-10-16,,4.5,2009-10-14,2,3.5518191617571633
2009-10-17,,4.5,2009-10-14,3,3.334695240222645
2009-10-18,,4.5,2009-10-14,4,3.203002924854919
2009-10-19,,4.5,2009-10-14,5,3.1231274979358483
2009-10-20,,4.5,2009-10-14,6,3.074680602551796
2009-10-21,,4.5,2009-10-14,7,3.0452960751334777
2009-10-22,,4.5,2009-10-14,8,3.0274734583331013
2009-10-23,,4.5,2009-10-14,9,3.0166634948073634
2009-10-24,,4.5,2009-10-14,10,3.0101069204986284
2009-10-25,,4.5,2009-10-14,11,3.006130157157696
2009-10-26,,4.5,2009-10-14,12,3.0037181282649996
2009-10-27,,4.5,2009-10-14,13,3.0022551587894664
2009-10-28,,4.5,2009-10-14,14,3.001367822948332
2009-10-29,,4.5,2009-10-14,15,3.000829626555222
2009-10-30,2.375,2.375,2009-10-30,0,2.375
2009-10-31,,2.375,2009-10-30,1,2.620918337679604
2009-11-01,,2.375,2009-10-30,2,2.7700753492678487
2009-11-02,,2.375,2009-10-30,3,2.8605436499072314
2009-11-03,,2.375,2009-10-30,4,2.915415447977117
2009-11-04,3.5,3.5,2009-11-04,0,3.5
2009-11-05,,3.5,2009-11-04,1,3.3032653298563166
2009-11-06,,3.5,2009-11-04,2,3.1839397205857214
2009-11-07,,3.5,2009-11-04,3,3.111565080074215
2009-11-08,,3.5,2009-11-04,4,3.067667641618306
2009-11-09,,3.5,2009-11-04,5,3.0410424993119496
2009-11-10,,3.5,2009-11-04,6,3.024893534183932
2009-11-11,,3.5,2009-11-04,7,3.015098691711159
2009-11-12,,3.5,2009-11-04,8,3.009157819444367
2009-11-13,,3.5,2009-11-04,9,3.005554498269121
2009-11-14,,3.5,2009-11-04,10,3.003368973499543
2009-11-15,,3.5,2009-11-04,11,3.002043385719232
2009-11-16,,3.5,2009-11-04,12,3.0012393760883334
2009-11-17,,3.5,2009-11-04,13,3.000751719596489
2009-11-18,,3.5,2009-11-04,14,3.000455940982777
2009-11-19,,3.5,2009-11-04,15,3.000276542185074
2009-11-20,,3.5,2009-11-04,16,3.0001677313139514
2009-11-21,,3.5,2009-11-04,17,3.0001017341845055
2009-11-22,,3.5,2009-11-04,18,3.0000617049020435
2009-11-23,2.25,2.25,2009-11-23,0,2.25
2009-11-24,2.5,2.5,2009-11-24,0,2.5
2009-11-25,,2.5,2009-11-24,1,2.6967346701436834
2009-11-26,,2.5,2009-11-24,2,2.8160602794142786
2009-11-27,,2.5,2009-11-24,3,2.888434919925785
2009-11-28,,2.5,2009-11-24,4,2.932332358381694
2009-11-29,,2.5,2009-11-24,5,2.9589575006880504
2009-11-30,,2.5,2009-11-24,6,2.975106465816068
2009-12-01,,2.5,2009-11-24,7,2.984901308288841
2009-12-02,2.0,2.0,2009-12-02,0,2.0
2009-12-03,,2.0,2009-12-02,1,2.393469340287367
2009-12-04,1.5,1.5,2009-12-04,0,1.5
2009-12-05,,1.5,2009-12-04,1,2.0902040104310498
2009-12-06,,1.5,2009-12-04,2,2.4481808382428367
2009-12-07,,1.5,2009-12-04,3,2.665304759777355
2009-12-08,,1.5,2009-12-04,4,2.796997075145081
2009-12-09,3.75,3.75,2009-12-09,0,3.75
2009-12-10,,3.75,2009-12-09,1,3.454897994784475
2009-12-11,2.9166666666666665,2.9166666666666665,2009-12-11,0,2.9166666666666665
2009-12-12,,2.9166666666666665,2009-12-11,1,2.9494557783572803
2009-12-13,,2.9166666666666665,2009-12-11,2,2.9693433799023796
2009-12-14,1.25,1.25,2009-12-14,0,1.25
2009-12-15,,1.25,2009-12-14,1,1.9385713455028915
2009-12-16,5.0,5.0,2009-12-16,0,5.0
2009-12-17,,5.0,2009-12-16,1,4.213061319425266
2009-12-18,,5.0,2009-12-16,2,3.7357588823428847
2009-12-19,,5.0,2009-12-16,3,3.44626032029686
2009-12-20,,5.0,2009-12-16,4,3.2706705664732256
2009-12-21,4.4375,4.4375,2009-12-21,0,4.4375
2009-12-22,3.125,3.125,2009-12-22,0,3.125
2009-12-23,,3.125,2009-12-22,1,3.075816332464079
2009-12-24,1.0,1.0,2009-12-24,0,1.0
2009-12-25,,1.0,2009-12-24,1,1.7869386805747332
2009-12-26,,1.0,2009-12-24,2,2.2642411176571153
2009-12-27,,1.0,2009-12-24,3,2.55373967970314
2009-12-28,4.0,4.0,2009-12-28,0,4.0
2009-12-29,1.5833333333333333,1.5833333333333333,2009-12-29,0,1.5833333333333333
2009-12-30,,1.5833333333333333,2009-12-29,1,2.1407482320737694
2009-12-31,,1.5833333333333333,2009-12-29,2,2.4788374583404567
2010-01-01,,1.5833333333333333,2009-12-29,3,2.6838989397897244
2010-01-02,,1.5833333333333333,2009-12-29,4,2.808275015414799
2010-01-03,,1.5833333333333333,2009-12-29,5,2.883712918616143
2010-01-04,2.25,2.25,2010-01-04,0,2.25
2010-01-05,,2.25,2010-01-04,1,2.545102005215525
2010-01-06,2.3333333333333335,2.3333333333333335,2010-01-06,0,2.3333333333333335
2010-01-07,3.5,3.5,2010-01-07,0,3.5
2010-01-08,2.125,2.125,2010-01-08,0,2.125
