Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2018-09-15,3.0,3.0,2018-09-15,0,3.0
2018-09-16,,3.0,2018-09-15,1,3.0
2018-09-17,2.6875,2.6875,2018-09-17,0,2.6875
2018-09-18,3.25,3.25,2018-09-18,0,3.25
2018-09-19,2.9375,2.9375,2018-09-19,0,2.9375
2018-09-20,2.83333333,2.83333333,2018-09-20,0,2.83333333
2018-09-21,3.25,3.25,2018-09-21,0,3.25
2018-09-22,,3.25,2018-09-21,1,3.15163266
2018-09-23,3.41666667,3.41666667,2018-09-23,0,3.41666667
2018-09-24,2.63333333,2.63333333,2018-09-24,0,2.63333333
2018-09-25,2.0,2.0,2018-09-25,0,2.0
2018-09-26,3.25,3.25,2018-09-26,0,3.25
2018-09-27,2.83333333,2.83333333,2018-09-27,0,2.83333333
2018-09-28,3.1,3.1,2018-09-28,0,3.1
2018-09-29,,3.1,2018-09-28,1,3.06065307
2018-09-30,4.0,4.0,2018-09-30,0,4.0
2018-10-01,4.0,4.0,2018-10-01,0,4.0
2018-10-02,2.7,2.7,2018-10-02,0,2.7
2018-10-03,3.0625,3.0625,2018-10-03,0,3.0625
2018-10-04,2.64285714,2.64285714,2018-10-04,0,2.64285714
2018-10-05,2.79166667,2.79166667,2018-10-05,0,2.79166667
2018-10-06,3.0,3.0,2018-10-06,0,3.0
2018-10-07,2.5,2.5,2018-10-07,0,2.5
2018-10-08,2.53846154,2.53846154,2018-10-08,0,2.53846154
2018-10-09,3.0,3.0,2018-10-09,0,3.0
2018-10-10,3.61111111,3.61111111,2018-10-10,0,3.61111111
2018-10-11,2.65384615,2.65384615,2018-10-11,0,2.65384615
2018-10-12,3.31818182,3.31818182,2018-10-12,0,3.31818182
2018-10-13,3.0,3.0,2018-10-13,0,3.0
2018-10-14,2.83333333,2.83333333,2018-10-14,0,2.83333333
2018-10-15,2.4,2.4,2018-10-15,0,2.4
2018-10-16,2.78571429,2.78571429,2018-10-16,0,2.78571429
2018-10-17,3.42857143,3.42857143,2018-10-17,0,3.42857143
2018-10-18,1.75,1.75,2018-10-18,0,1.75
2018-10-19,3.375,3.375,2018-10-19,0,3.375
2018-10-20,2.0,2.0,2018-10-20,0,2.0
2018-10-21,3.0,3.0,2018-10-21,0,3.0
2018-10-22,2.4,2.4,2018-10-22,0,2.4
2018-10-23,2.625,2.625,2018-10-23,0,2.625
2018-10-24,3.0,3.0,2018-10-24,0,3.0
2018-10-25,1.83333333,1.83333333,2018-10-25,0,1.83333333
2018-10-26,2.77777778,2.77777778,2018-10-26,0,2.77777778
2018-10-27,3.0,3.0,2018-10-27,0,3.0
