Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2009-08-31,1.5,1.5,2009-08-31,0,1.5
2009-09-01,,1.5,2009-08-31,1,2.09020401
2009-09-02,,1.5,2009-08-31,2,2.44818084
2009-09-03,,1.5,2009-08-31,3,2.66530476
2009-09-04,,1.5,2009-08-31,4,2.79699708
2009-09-05,,1.5,2009-08-31,5,2.8768725
2009-09-06,,1.5,2009-08-31,6,2.9253194
2009-09-07,,1.5,2009-08-31,7,2.95470392
2009-09-08,,1.5,2009-08-31,8,2.97252654
2009-09-09,2.5,2.5,2009-09-09,0,2.5
2009-09-10,,2.5,2009-09-09,1,2.69673467
2009-09-11,,2.5,2009-09-09,2,2.81606028
2009-09-12,,2.5,2009-09-09,3,2.88843492
2009-09-13,,2.5,2009-09-09,4,2.93233236
2009-09-14,,2.5,2009-09-09,5,2.9589575
2009-09-15,,2.5,2009-09-09,6,2.97510647
2009-09-16,,2.5,2009-09-09,7,2.98490131
2009-09-17,,2.5,2009-09-09,8,2.99084218
2009-09-18,,2.5,2009-09-09,9,2.9944455
2009-09-19,,2.5,2009-09-09,10,2.99663103
2009-09-20,,2.5,2009-09-09,11,2.99795661
2009-09-21,,2.5,2009-09-09,12,2.99876062
2009-09-22,,2.5,2009-09-09,13,2.99924828
2009-09-23,,2.5,2009-09-09,14,2.99954406
2009-09-24,4.0,4.0,2009-09-24,0,4.0
2009-09-25,,4.0,2009-09-24,1,3.60653066
2009-09-26,,4.0,2009-09-24,2,3.36787944
2009-09-27,,4.0,2009-09-24,3,3.22313016
2009-09-28,,4.0,2009-09-24,4,3.13533528
2009-09-29,1.5,1.5,2009-09-29,0,1.5
2009-09-30,,1.5,2009-09-29,1,2.09020401
2009-10-01,,1.5,2009-09-29,2,2.44818084
2009-10-02,,1.5,2009-09-29,3,2.66530476
2009-10-03,,1.5,2009-09-29,4,2.79699708
2009-10-04,,1.5,2009-09-29,5,2.8768725
2009-10-05,,1.5,2009-09-29,6,2.9253194
2009-10-06,,1.5,2009-09-29,7,2.95470392
2009-10-07,,1.5,2009-09-29,8,2.97252654
2009-10-08,,1.5,2009-09-29,9,2.98333651
2009-10-09,,1.5,2009-09-29,10,2.98989308
2009-10-10,,1.5,2009-09-29,11,2.99386984
2009-10-11,,1.5,2009-09-29,12,2.99628187
2009-10-12,,1.5,2009-09-29,13,2.99774484
2009-10-13,,1.5,2009-09-29,14,2.99863218
2009-10-14,,1.5,2009-09-29,15,2.99917037
2009-10-15,,1.5,2009-09-29,16,2.99949681
2009-10-16,,1.5,2009-09-29,17,2.9996948
2009-10-17,,1.5,2009-09-29,18,2.99981489
2009-10-18,,1.5,2009-09-29,19,2.99988772
2009-10-19,2.0,2.0,2009-10-19,0,2.0
2009-10-20,,2.0,2009-10-19,1,2.39346934
2009-10-21,3.5,3.5,2009-10-21,0,3.5
2009-10-22,,3.5,2009-10-21,1,3.30326533
2009-10-23,,3.5,2009-10-21,2,3.18393972
2009-10-24,,3.5,2009-10-21,3,3.11156508
2009-10-25,,3.5,2009-10-21,4,3.06766764
2009-10-26,,3.5,2009-10-21,5,3.0410425
2009-10-27,,3.5,2009-10-21,6,3.02489353
2009-10-28,,3.5,2009-10-21,7,3.01509869
2009-10-29,,3.5,2009-10-21,8,3.00915782
2009-10-30,,3.5,2009-10-21,9,3.0055545
2009-10-31,,3.5,2009-10-21,10,3.00336897
2009-11-01,,3.5,2009-10-21,11,3.00204339
2009-11-02,3.5,3.5,2009-11-02,0,3.5
2009-11-03,,3.5,2009-11-02,1,3.30326533
2009-11-04,,3.5,2009-11-02,2,3.18393972
2009-11-05,,3.5,2009-11-02,3,3.11156508
2009-11-06,,3.5,2009-11-02,4,3.06766764
2009-11-07,,3.5,2009-11-02,5,3.0410425
2009-11-08,,3.5,2009-11-02,6,3.02489353
2009-11-09,,3.5,2009-11-02,7,3.01509869
2009-11-10,,3.5,2009-11-02,8,3.00915782
2009-11-11,,3.5,2009-11-02,9,3.0055545
2009-11-12,,3.5,2009-11-02,10,3.00336897
2009-11-13,4.5,4.5,2009-11-13,0,4.5
2009-11-14,,4.5,2009-11-13,1,3.90979599
2009-11-15,,4.5,2009-11-13,2,3.55181916
2009-11-16,,4.5,2009-11-13,3,3.33469524
2009-11-17,,4.5,2009-11-13,4,3.20300292
2009-11-18,,4.5,2009-11-13,5,3.1231275
2009-11-19,,4.5,2009-11-13,6,3.0746806
2009-11-20,,4.5,2009-11-13,7,3.04529608
2009-11-21,,4.5,2009-11-13,8,3.02747346
2009-11-22,,4.5,2009-11-13,9,3.01666349
2009-11-23,,4.5,2009-11-13,10,3.01010692
2009-11-24,,4.5,2009-11-13,11,3.00613016
2009-11-25,,4.5,2009-11-13,12,3.00371813
2009-11-26,,4.5,2009-11-13,13,3.00225516
2009-11-27,,4.5,2009-11-13,14,3.00136782
2009-11-28,,4.5,2009-11-13,15,3.00082963
2009-11-29,,4.5,2009-11-13,16,3.00050319
2009-11-30,,4.5,2009-11-13,17,3.0003052
2009-12-01,3.0,3.0,2009-12-01,0,3.0
2009-12-02,,3.0,2009-12-01,1,3.0
2009-12-03,,3.0,2009-12-01,2,3.0
2009-12-04,,3.0,2009-12-01,3,3.0
2009-12-05,,3.0,2009-12-01,4,3.0
2009-12-06,,3.0,2009-12-01,5,3.0
2009-12-07,,3.0,2009-12-01,6,3.0
2009-12-08,1.5,1.5,2009-12-08,0,1.5
2009-12-09,,1.5,2009-12-08,1,2.09020401
2009-12-10,2.75,2.75,2009-12-10,0,2.75
2009-12-11,3.33333333,3.33333333,2009-12-11,0,3.33333333
2009-12-12,,3.33333333,2009-12-11,1,3.20217689
2009-12-13,,3.33333333,2009-12-11,2,3.12262648
2009-12-14,,3.33333333,2009-12-11,3,3.07437672
2009-12-15,,3.33333333,2009-12-11,4,3.04511176
