Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-06-10 09:18:50 UTC,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",AMZN,https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,,,,,,
2020-06-10 07:33:26 UTC,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,AMZN,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,,,,,,
2020-06-10 03:53:47 UTC,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",AMZN,https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,,,,,,
2020-06-10 03:20:03 UTC,"Hearing Vertical Group Out Positive On Amazon, Saying Co.'s Ad Spend Revenues Are Increasing As Shipping Bottleneck Issues Begin To Abate",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16219876/hearing-vertical-group-out-positive-on-amazon-saying-co-s-ad-spend-revenues-are-inc,Benzinga Newsdesk,,,,,,
2020-06-09 20:52:01 UTC,Big Tech Reaches New Record Heights At The Stock Market,AMZN,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,,,,,,
2020-06-09 20:28:00 UTC,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",AMZN,https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,,,,,,
2020-06-09 10:52:04 UTC,'Inside Amazon's plan to test warehouse workers for Covid-19 every two weeks' -Earlier CNBC Report,AMZN,https://www.benzinga.com/news/20/06/16215412/inside-amazons-plan-to-test-warehouse-workers-for-covid-19-every-two-weeks-earlier-cnbc-report,Benzinga Newsdesk,,,,,,
2020-06-09 08:35:22 UTC,"BofA Raises Amazon Target On Sales Upside, Accelerating Unit Growth",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16212756/bofa-raises-amazon-target-on-sales-upside-accelerating-unit-growth,Priya Nigam,,,,,,
2020-06-09 08:13:54 UTC,Amazon shares are trading higher despite market weakness. Not currently seeing company-specific news.,AMZN,https://www.benzinga.com/wiim/20/06/16213978/amazon-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news,Benzinga Newsdesk,,,,,,
2020-06-09 07:36:51 UTC,"IRS Alerts Against Criminals Profiteering From Fake Coronavirus Treatments, Charities, Phishing, Other Financial Fraud",AMZN,https://www.benzinga.com/government/20/06/16209057/irs-alerts-against-criminals-profiteering-from-fake-coronavirus-treatments-charities-phishing-other,Neer Varshney,,,,,,
2020-06-02 00:00:00 UTC,4 Blue Chips That Lived Up To Their Title During the Pandemic,AMZN,https://www.benzinga.com/markets/20/06/16161759/4-blue-chips-that-lived-up-to-their-title-during-the-pandemic,IAM Newswire,,,,,,
2020-06-02 00:00:00 UTC,"How Cameo, Facebook And Peloton Are Embracing Coronavirus Disruption",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16161097/how-cameo-facebook-and-peloton-are-embracing-coronavirus-disruption,Wayne Duggan,,,,,,
2020-06-02 00:00:00 UTC,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,AMZN,https://www.benzinga.com/news/20/06/16156648/tesla-ceo-musk-says-other-three-officers-should-be-charged-in-floyds-murder-case,Neer Varshney,,,,,,
2020-06-02 00:00:00 UTC,"Pepper Spray, Books On Racism, 'I Can't Breathe' Merchandise Are Top Sellers On Amazon As Protests Rage",AMZN,https://www.benzinga.com/news/20/06/16156515/pepper-spray-books-on-racism-i-cant-breathe-merchandise-are-top-sellers-on-amazon-as-protests-rage,Neer Varshney,,,,,,
2020-06-01 00:00:00 UTC,Amazon Looks To Establish Supply Chain Trust With New Blockchain Patent,AMZN,https://www.benzinga.com/news/20/06/16154615/amazon-looks-to-establish-supply-chain-trust-with-new-blockchain-patent,FreightWaves,,,,,,
2020-06-01 00:00:00 UTC,Making Sense Of Why Consumers Are Switching Their Grocery Store Habits,AMZN,https://www.benzinga.com/news/20/06/16146064/making-sense-of-why-consumers-are-switching-their-grocery-store-habits,Jayson Derrick,,,,,,
2020-06-01 00:00:00 UTC,"Amazon Curtails Some Service, Highways Closed, As Protests Impact Freight And Driver Safety",AMZN,https://www.benzinga.com/news/20/06/16150798/amazon-curtails-some-service-highways-closed-as-protests-impact-freight-and-driver-safety,FreightWaves,,,,,,
2020-06-01 00:00:00 UTC,How Social Media Stocks Fared During The Pandemic,AMZN,https://www.benzinga.com/opinion/20/06/16150869/how-social-media-stocks-fared-during-the-pandemic,IAM Newswire,,,,,,
2020-06-01 00:00:00 UTC,"Gun, Security Stocks Trade Higher After Weekend Protests Turn Violent And Destructive",AMZN,https://www.benzinga.com/news/20/06/16150247/gun-security-stocks-trade-higher-after-weekend-protests-turn-violent-and-destructive,Wayne Duggan,,,,,,
2020-06-01 00:00:00 UTC,10 Biggest Price Target Changes For Monday,AMZN,https://www.benzinga.com/analyst-ratings/price-target/20/06/16148982/10-biggest-price-target-changes-for-monday,Lisa Levin,,,,,,
2020-06-01 00:00:00 UTC,"Amazon Files for Mixed Shelf Offering, Size Not Disclosed",AMZN,https://www.benzinga.com/news/20/06/16148971/amazon-files-for-mixed-shelf-offering-size-not-disclosed,Luke J Jacobi,,,,,,
2020-06-01 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Amazon.com, Raises Price Target to $2800",AMZN,https://www.benzinga.com/news/20/06/16148792/morgan-stanley-maintains-overweight-on-amazon-com-raises-price-target-to-2800,Rich Worthington,,,,,,
2020-06-01 00:00:00 UTC,The 'Real' S&P 500 And Why The Current Rally Makes Sense,AMZN,https://www.benzinga.com/opinion/20/06/16147738/the-real-s-p-500-why-the-current-rally-makes-sense,Eric Mancini,,,,,,
2020-06-01 00:00:00 UTC,"UK Supply Chain Startup Beacon Raises $15M From Amazon CEO, Others",AMZN,https://www.benzinga.com/news/20/06/16146470/uk-supply-chain-startup-beacon-raises-15m-from-amazon-ceo-others,Neer Varshney,,,,,,
2020-06-01 00:00:00 UTC,"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",AMZN,https://www.benzinga.com/news/20/06/16146417/apple-ceo-writes-to-employees-about-george-floyd-death-urges-for-better-more-just-world-for-everyone,Shivdeep Dhaliwal,,,,,,
2020-05-31 00:00:00 UTC,"Amazon, Apple, Walmart, Other Retailers Shutter Stores, Scale Back Operations In Areas Worst Hit With Protests",AMZN,https://www.benzinga.com/news/20/06/16146370/amazon-apple-walmart-other-retailers-shutter-stores-scale-back-operations-in-areas-worst-hit-with-pr,Neer Varshney,,,,,,
2020-05-31 00:00:00 UTC,Amazon Company Spokesperson Says Adjusted Routes or Scaled Back Typical Delivery Operations to Ensure Safety of Its Teams in Handful of U.S. Cities,AMZN,https://www.benzinga.com/news/20/05/16146217/amazon-company-spokesperson-says-adjusted-routes-or-scaled-back-typical-delivery-operations-to-ensur,Charles Gross,,,,,,
2020-05-31 00:00:00 UTC,Jeff Bezos Buying Stake in UK Startup Beacon,AMZN,https://www.benzinga.com/news/20/05/16145970/jeff-bezos-buying-stake-in-uk-startup-beacon,Charles Gross,,,,,,
2020-05-30 00:00:00 UTC,"Benzinga's Bulls And Bears Of The Week: Amazon, Disney, Netflix And More",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16145636/benzingas-bulls-and-bears-of-the-week-amazon-disney-netflix-and-more,Nelson Hem,,,,,,
2020-05-29 00:00:00 UTC,FedEx named as suitor for German parcel company,AMZN,https://www.benzinga.com/news/20/05/16141726/fedex-named-as-suitor-for-german-parcel-company,FreightWaves,,,,,,
2020-05-29 00:00:00 UTC,"Fandom, America's Navy Partner For Warzone Tournament To Celebrate National Military Appreciation Month",AMZN,https://www.benzinga.com/news/20/05/16133089/fandom-americas-navy-partner-for-warzone-tournament-to-celebrate-national-military-appreciation-mont,Crystal Mills,,,,,,
2020-05-29 00:00:00 UTC,"Amazon Offers Full-Time Employment To 125,000 Workers Hired To Meet Increased Demand During Pandemic",AMZN,https://www.benzinga.com/news/20/05/16135144/amazon-offers-full-time-employment-to-125-000-workers-hired-to-meet-increased-demand-during-the-pand,Neer Varshney,,,,,,
2020-05-29 00:00:00 UTC,"UPS Slaps 'Peak' Surcharge On Amazon, Walmart, Others, As Delivery Requests Balloon Post Lockdown Ease",AMZN,https://www.benzinga.com/news/20/05/16134488/ups-slaps-peak-surcharge-on-amazon-walmart-others-as-delivery-requests-balloon-post-lockdown-ease,Neer Varshney,,,,,,
2020-05-28 00:00:00 UTC,"'Amazon's website is down for many users across the US' -Tweet From Business Insider; BZ NOTE: Benzinga Reporters In NYC, Detroit Not Experiencing Issues",AMZN,https://www.benzinga.com/news/20/05/16131561/amazons-website-is-down-for-many-users-across-the-us-tweet-from-business-insider-bz-note-benzinga-re,Benzinga Newsdesk,,,,,,
2020-05-28 00:00:00 UTC,"Here's How Amazon Could Become A Threat To Tesla, Ford And More With Zoox Buy",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16128693/heres-how-amazon-could-become-a-threat-to-tesla-ford-and-more-with-zoox-buy,Elizabeth Balboa,,,,,,
2020-05-28 00:00:00 UTC,"'Rivian reopens factory, delays electric pickup/SUV, but Amazon delivery van is still on time' -Electrek Report",AMZN,https://www.benzinga.com/news/20/05/16129055/rivian-reopens-factory-delays-electric-pickupsuv-but-amazon-delivery-van-is-still-on-time-electrek-r,Benzinga Newsdesk,,,,,,
2020-05-28 00:00:00 UTC,Hearing Amazon Has Said It Will Keep 125K Of 175K Jobs Added During Pandemic As Permanent Positions,AMZN,https://www.benzinga.com/news/20/05/16125279/hearing-amazon-has-said-it-will-keep-125k-of-175k-jobs-added-during-pandemic-as-permanent-positions,Benzinga Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,E-commerce Drives Multi-Pronged Expansion At UPS Airlines,AMZN,https://www.benzinga.com/news/20/05/16123265/e-commerce-drives-multi-pronged-expansion-at-ups-airlines,FreightWaves,,,,,,
2020-05-27 00:00:00 UTC,"Amazon Is Serious About Self-Driving Technology, Eyeing Multi-Billion Dollar Acquisition",AMZN,https://www.benzinga.com/news/20/05/16118269/amazon-is-serious-about-self-driving-technology-eyeing-multi-billion-dollar-acquisition,FreightWaves,,,,,,
2020-05-27 00:00:00 UTC,Bezos Says Amazon's Strategy Is To Undercharge For Prime Membership Relative TO ITs value For Customers,AMZN,https://www.benzinga.com/news/20/05/16120408/bezos-says-amazons-strategy-is-to-undercharge-for-prime-membership-relative-to-its-value-for-custome,Benzinga Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,Same Old Leadership Song Lifts These Leveraged ETFs,AMZN,https://www.benzinga.com/trading-ideas/long-ideas/20/05/16112730/same-old-leadership-song-lifts-these-leveraged-etfs,ETF Professor,,,,,,
2020-05-27 00:00:00 UTC,These 10 Stocks Have Surged During The Coronavirus Pandemic,AMZN,https://www.benzinga.com/news/20/05/16109182/these-10-stocks-have-surged-during-the-coronavirus-pandemic,Dylan Wittenberg,,,,,,
2020-05-27 00:00:00 UTC,"A Peek Into The Markets: US Stock Futures Surge Ahead Of HP Earnings, Beige Book Report",AMZN,https://www.benzinga.com/news/earnings/20/05/16113663/a-peek-into-the-markets-us-stock-futures-surge-ahead-of-hp-earnings-beige-book-report,Lisa Levin,,,,,,
2020-05-27 00:00:00 UTC,"6 Stocks To Watch For May 27, 2020",AMZN,https://www.benzinga.com/news/earnings/20/05/16113283/6-stocks-to-watch-for-may-27-2020,Lisa Levin,,,,,,
2020-05-27 00:00:00 UTC,11 Local News Stations Ran Amazon Produced Content Praising Company's Health And Safety Efforts,AMZN,https://www.benzinga.com/news/20/05/16112933/eleven-local-news-stations-ran-amazon-produced-content-praising-companys-health-and-safety-efforts,Shivdeep Dhaliwal,,,,,,
2020-05-27 00:00:00 UTC,Amazon Looks To Double-Down On Self-Driving Tech With Zoox Acquisition: WSJ,AMZN,https://www.benzinga.com/news/20/05/16112895/amazon-looks-to-double-down-on-self-driving-tech-with-zoox-acquisition-wsj,Neer Varshney,,,,,,
