Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2018-09-15T08:00:00.000+08:00,Stocks To Watch: Oracle Looks To Lift Tech Sector,JPM,https://seekingalpha.com/article/4206464-stocks-watch-oracle-looks-lift-tech-sector?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,"\"Banks need to \"\"disrupt themselves\"\" before someone else does: Morgan Stanley\"",JPM,https://seekingalpha.com/news/3390923-banks-need-disrupt-someone-else-morgan-stanley?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,Morgan Stanley's China M&A Move,JPM,https://seekingalpha.com/article/4206764-morgan-stanleys-china-m-move?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,The Great Divergence: It Won't Last Much Longer.,JPM,https://seekingalpha.com/article/4206740-great-divergence-last-much-longer?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,9/15/2018: 10th Anniversary Of The Lehman Bankruptcy,JPM,https://seekingalpha.com/article/4206690-9-15-2018-10th-anniversary-lehman-bankruptcy?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,JPMorgan pulls ahead of Fidelity in Europe ETF race: Financial News,JPM,https://seekingalpha.com/news/3390785-jpmorgan-pulls-ahead-fidelity-europe-etf-race-financial-news?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-17T08:00:00.000+08:00,Wells Fargo Faces New Challenge as Business Loans Decline,JPM,http://www.zacks.com/stock/news/323348/wells-fargo-faces-new-challenge-as-business-loans-decline?cid=CS-BENZ-FT-323348,Zacks,,,,,,
2018-09-17T08:00:00.000+08:00,"The Zacks Analyst Blog Highlights: JPMorgan, Mastercard, AbbVie, CVS Health and Estee Lauder",JPM,http://www.zacks.com/stock/news/323270/the-zacks-analyst-blog-highlights-jpmorgan-mastercard-abbvie-cvs-health-and-estee-lauder?cid=CS-BENZ-FT-323270,Zacks,,,,,,
2018-09-17T08:00:00.000+08:00,Deutsche (DB) to Shift Large Portion of Assets From London,JPM,http://www.zacks.com/stock/news/323231/deutsche-db-to-shift-large-portion-of-assets-from-london?cid=CS-BENZ-FT-323231,Zacks,,,,,,
2018-09-18T08:00:00.000+08:00,JPMorgan Chase declares $0.80 dividend,JPM,https://seekingalpha.com/news/3391260-jpmorgan-chase-declares-0_80-dividend?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-18T08:00:00.000+08:00,Why Did Amazon (AMZN) Stock Climb Today?,JPM,http://www.zacks.com/stock/news/323663/why-did-amazon-amzn-stock-climb-today?cid=CS-BENZ-FT-323663,Zacks,,,,,,
2018-09-18T08:00:00.000+08:00,JPMorgan - 5.75% Forever,JPM,https://seekingalpha.com/article/4206894-jpmorgan-5_75-percent-forever?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-18T08:00:00.000+08:00,TCA by E*Trade continues expanding ETF trading platform,JPM,https://seekingalpha.com/news/3391076-tca-e-trade-continues-expanding-etf-trading-platform?source=partner_benzinga,Seeking Alpha,,,,,,
2018-09-19T08:00:00.000+08:00,"Dow Jones Closes at —6,4…5.76 on Wednesday",JPM,http://www.gurufocus.com/news/742125/dow-jones-closes-at-2640576-on-wednesday,GuruFocus,,,,,,
2018-09-19T08:00:00.000+08:00,"Blue Chips Rise; JPMorgan, Goldman Lead Dow; Oil Stocks Strong Again",JPM,http://www.investors.com/market-trend/stock-market-today/blue-chips-jp-morgan-goldman-sachs-lead-dow/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,,,,,,
2018-09-19T08:00:00.000+08:00,This Is What Disruption Looks Like: The Coming Shakeout In Transaction Banking,JPM,https://seekingalpha.com/article/4207197-disruption-looks-like-coming-shakeout-transaction-banking?source=partner_benzinga,Seeking Alpha,,,,,,
