Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Summarized,Sentiment_score,UUID
2023-12-17T04:00:00.000+08:00,Eli Lilly (LLY) Rises Yet Lags Behind Market: Some Facts Worth Knowing,LLY,https://www.nasdaq.com/articles/eli-lilly-lly-rises-yet-lags-behind-market%3A-some-facts-worth-knowing,,,"Eli Lilly (LLY) closed the most recent trading day at $572, moving +0.31% from the previous trading session. The stock's performance was behind the S&P 500's daily gain of 1.03%. Meanwhile, the Dow gained 0.87%, and the Nasdaq, a tech-heavy index, added 1.26%.",,0,0,629f61da-d2f3-4933-a5dc-3838b4100cd7
2023-12-16T20:00:00.000+08:00,Weighing Their Chances: 5 Leading Healthcare Companies Fight for Market Share in the $100 Billion Weight-Loss Industry,LLY,https://www.nasdaq.com/articles/weighing-their-chances%3A-5-leading-healthcare-companies-fight-for-market-share-in-the-%24100,,,"The anti-obesity drug market could be worth $100 billion by 2030, according to analysts from Goldman Sachs. It's a mammoth market and one that looks to be heating up with a growing number of large healthcare companies showing interest in the space. Below, I'll look at some of the top names in the weight-loss market today, and others you may not have realized could be potential rivals in the future.",,0,0,72d93d69-9205-4f4a-8a8b-08f16f74bb5b
2023-12-16T19:00:00.000+08:00,3 Cancer-Focused Biotechs That Appear Promising Bets for 2024,LLY,https://www.nasdaq.com/articles/3-cancer-focused-biotechs-that-appear-promising-bets-for-2024,,,"Oncology treatments have been at the forefront this year, with biotech companies looking to capitalize on advancements in technology in this challenging but lucrative space. This has put the spotlight on companies with a solid portfolio of cancer treatments and/or a promising pipeline.",,0,0,37e26e65-5ae5-4755-9cb9-f62659be2581
2023-12-16T18:00:00.000+08:00,Guru Fundamental Report for LLY,LLY,https://www.nasdaq.com/articles/guru-fundamental-report-for-lly-78,,,"Below is Validea's guru fundamental report for ELI LILLY AND CO (LLY). Of the 22 guru strategies we follow, LLY rates highest using our Multi-Factor Investor model based on the published strategy of Pim van Vliet. This multi-factor model seeks low volatility stocks that also have strong momentum and high net payout yields.",,0,0,f75608ea-b808-4be9-80e0-5944f3d0ff13
2023-12-16T16:00:00.000+08:00,Is Invesco Pharmaceuticals ETF (PJP) a Strong ETF Right Now?,LLY,https://www.nasdaq.com/articles/is-invesco-pharmaceuticals-etf-pjp-a-strong-etf-right-now-0,,,"The Invesco Pharmaceuticals ETF (PJP) made its debut on 06/23/2005, and is a smart beta exchange traded fund that provides broad exposure to the Health Care ETFs category of the market.",,0,0,fa8b3939-23f5-4864-b516-1497056336c2
2023-12-16T08:00:00.000+08:00,"SOFTS-Arabica, robusta coffee ease off peaks, raw sugar consolidates",LLY,https://www.nasdaq.com/articles/softs-arabica-robusta-coffee-ease-off-peaks-raw-sugar-consolidates,,,Updates prices,,0,0,dd9978f8-80f3-4e31-a1f8-217cd9113522
2023-12-16T08:00:00.000+08:00,2 Unstoppable Growth Stocks to Buy in 2024,LLY,https://www.nasdaq.com/articles/2-unstoppable-growth-stocks-to-buy-in-2024,,,"Growth stocks have done well this year, but heading into 2024, many of them could start to lose steam, especially amid rising valuations. Yet, some businesses still look poised for much more growth in the years ahead, and are likely to continue rising in value next year, regardless of their high prices tags.",,0,0,d7162927-37c2-4392-a64c-9966c2a177af
2020-06-11T09:40:14.000+08:00,Lilly's Chief Scientist Says Co's COVID-19 Treatment Could be Authorized for Use by September,LLY,https://www.benzinga.com/news/20/06/16229931/lillys-chief-scientist-says-cos-covid-19-treatment-could-be-authorized-for-use-by-september,Charles Gross,,,,0,0,e1f79566-cb04-4b05-a28b-91e2f6d2177c
2020-06-11T09:40:14.000+08:00,Lilly's Chief Scientist Says Co's COVID-19 Treatment Could be Authorized for Use by September,LLY,https://www.benzinga.com/news/20/06/16229931/lillys-chief-scientist-says-cos-covid-19-treatment-could-be-authorized-for-use-by-september,Charles Gross,,,,0,0,1e8727d6-838c-4609-b5e5-cae086084f63
2020-06-10T19:40:33.000+08:00,"Eli Lilly Shares Spike To Session High, Up 1.7%, Following Report Co. Chief Scientist Has Said One Of Co.'s Antibodies Could Be Authorized As Coronavirus Treatment As Early As Sept.",LLY,https://www.benzinga.com/news/20/06/16225883/eli-lilly-shares-spike-to-session-high-up-1-7-following-report-co-chief-scientist-has-said-one-of-co,Benzinga Newsdesk,,,,0,0,624c50ee-9359-483a-9fc6-a22153cecba4
