Unnamed: 0,Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
379.0,2023-12-16 00:00:00 UTC,Alcoa Reaches Analyst Target Price,AA,https://www.nasdaq.com/articles/alcoa-reaches-analyst-target-price-1,,,"In recent trading, shares of Alcoa Corporation (Symbol: AA) have crossed above the average analyst 12-month target price of $30.60, changing hands for $31.10/share. When a stock reaches the target an analyst has set, the analyst logically has two ways to react: downgrade on valuation, or, re-adjust their target price to a higher level. Analyst reaction may also depend on the fundamental business developments that may be responsible for driving the stock price higher — if things are looking up for the company, perhaps it is time for that target price to be raised.",,,,
380.0,2023-12-15 00:00:00 UTC,AA Quantitative Stock Analysis,AA,https://www.nasdaq.com/articles/aa-quantitative-stock-analysis-0,,,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins.",,,,
381.0,2023-12-14 00:00:00 UTC,"Notable Friday Option Activity: CPE, AA, TGT",AA,https://www.nasdaq.com/articles/notable-friday-option-activity%3A-cpe-aa-tgt,,,"Looking at options trading activity among components of the Russell 3000 index, there is noteworthy activity today in Callon Petroleum Co. (Symbol: CPE), where a total volume of 16,328 contracts has been traded thus far today, a contract volume which is representative of approximately 1.6 million underlying shares (given that every 1 contract represents 100 underlying shares). That number works out to 99.6% of CPE's average daily trading volume over the past month, of 1.6 million shares. Especially high volume was seen for the $29 strike call option expiring December 15, 2023, with 2,603 contracts trading so far today, representing approximately 260,300 underlying shares of CPE. Below is a chart showing CPE's trailing twelve month trading history, with the $29 strike highlighted in orange:",,,,
382.0,2023-12-07 00:00:00 UTC,"Notable Thursday Option Activity: AA, CIEN, PANW",AA,https://www.nasdaq.com/articles/notable-thursday-option-activity%3A-aa-cien-panw,,,"Among the underlying components of the Russell 3000 index, we saw noteworthy options trading volume today in Alcoa Corporation (Symbol: AA), where a total of 20,941 contracts have traded so far, representing approximately 2.1 million underlying shares. That amounts to about 48.5% of AA's average daily trading volume over the past month of 4.3 million shares. Especially high volume was seen for the $45 strike put option expiring January 19, 2024, with 1,130 contracts trading so far today, representing approximately 113,000 underlying shares of AA. Below is a chart showing AA's trailing twelve month trading history, with the $45 strike highlighted in orange:",,,,
383.0,2023-12-07 00:00:00 UTC,HSBC Initiates Coverage of Alcoa (AA) with Hold Recommendation,AA,https://www.nasdaq.com/articles/hsbc-initiates-coverage-of-alcoa-aa-with-hold-recommendation,,,"Fintel reports that on December 7, 2023, HSBC initiated coverage of Alcoa (NYSE:AA) with a Hold recommendation.",,,,
384.0,2023-12-06 00:00:00 UTC,Here's Why Alcoa (AA) Fell More Than Broader Market,AA,https://www.nasdaq.com/articles/heres-why-alcoa-aa-fell-more-than-broader-market,,,"The most recent trading session ended with Alcoa (AA) standing at $25.12, reflecting a -0.48% shift from the previouse trading day's closing. The stock trailed the S&P 500, which registered a daily loss of 0.39%. Elsewhere, the Dow lost 0.19%, while the tech-heavy Nasdaq lost 0.59%.",,,,
385.0,2023-12-01 00:00:00 UTC,Global aluminium producer seeks Q1 premium of $95/T -sources,AA,https://www.nasdaq.com/articles/global-aluminium-producer-seeks-q1-premium-of-%2495-t-sources-0,,,By Yuka Obayashi,,,,
386.0,2023-11-30 00:00:00 UTC,Alcoa (AA) Outperforms Broader Market: What You Need to Know,AA,https://www.nasdaq.com/articles/alcoa-aa-outperforms-broader-market%3A-what-you-need-to-know,,,"In the latest market close, Alcoa (AA) reached $26.86, with a +1.59% movement compared to the previous day. The stock exceeded the S&P 500, which registered a gain of 0.38% for the day. On the other hand, the Dow registered a gain of 1.47%, and the technology-centric Nasdaq decreased by 0.23%.",,,,
387.0,2023-11-24 00:00:00 UTC,Alcoa (AA) Stock Declines While Market Improves: Some Information for Investors,AA,https://www.nasdaq.com/articles/alcoa-aa-stock-declines-while-market-improves%3A-some-information-for-investors,,,"Alcoa (AA) ended the recent trading session at $26.24, demonstrating a -0.53% swing from the preceding day's closing price. This change lagged the S&P 500's daily gain of 0.06%. Meanwhile, the Dow gained 0.33%, and the Nasdaq, a tech-heavy index, lost 0.11%.",,,,
388.0,2023-11-23 00:00:00 UTC,Guru Fundamental Report for AA,AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-9,,,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins.",,,,
389.0,2023-11-20 00:00:00 UTC,Implied MDYV Analyst Target Price: $76,AA,https://www.nasdaq.com/articles/implied-mdyv-analyst-target-price%3A-%2476,,,"Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel, we have compared the trading price of each holding against the average analyst 12-month forward target price, and computed the weighted average implied analyst target price for the ETF itself. For the SPDR S&P 400 Mid Cap Value ETF (Symbol: MDYV), we found that the implied analyst target price for the ETF based upon its underlying holdings is $75.92 per unit.",,,,
390.0,2023-11-17 00:00:00 UTC,Industry group urges EU to impose wider sanctions on Russian aluminium,AA,https://www.nasdaq.com/articles/industry-group-urges-eu-to-impose-wider-sanctions-on-russian-aluminium,,,"LONDON, Nov 17 (Reuters) - The European Union should impose broader import bans on Russian aluminium as part of its latest package of sanctions, industry group European Aluminium said on Friday.",,,,
391.0,2023-11-17 00:00:00 UTC,Industry group urges EU to impose broader sanctions on Russian aluminium,AA,https://www.nasdaq.com/articles/industry-group-urges-eu-to-impose-broader-sanctions-on-russian-aluminium,,,Updates with data on Russian aluminium imports in paragraphs 5-6,,,,
392.0,2023-11-13 00:00:00 UTC,First Week of AA January 2025 Options Trading,AA,https://www.nasdaq.com/articles/first-week-of-aa-january-2025-options-trading,,,"Investors in Alcoa Corporation (Symbol: AA) saw new options become available this week, for the January 2025 expiration. One of the key data points that goes into the price an option buyer is willing to pay, is the time value, so with 431 days until expiration the newly available contracts represent a potential opportunity for sellers of puts or calls to achieve a higher premium than would be available for the contracts with a closer expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new January 2025 contracts and identified one put and one call contract of particular interest.",,,,
393.0,2023-11-09 00:00:00 UTC,Guru Fundamental Report for AA,AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-8,,,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins.",,,,
394.0,2023-11-07 00:00:00 UTC,"COLUMN-New EU power market, same old problems for metals sector: Andy Home",AA,https://www.nasdaq.com/articles/column-new-eu-power-market-same-old-problems-for-metals-sector%3A-andy-home-0,,,By Andy Home,,,,
395.0,2023-11-07 00:00:00 UTC,"COLUMN-New EU power market, same old problems for metals sector: Andy Home",AA,https://www.nasdaq.com/articles/column-new-eu-power-market-same-old-problems-for-metals-sector%3A-andy-home,,,By Andy Home,,,,
396.0,2023-10-26 00:00:00 UTC,Guru Fundamental Report for AA,AA,https://www.nasdaq.com/articles/guru-fundamental-report-for-aa-7,,,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins.",,,,
397.0,2023-10-26 00:00:00 UTC,December 8th Options Now Available For Alcoa (AA),AA,https://www.nasdaq.com/articles/december-8th-options-now-available-for-alcoa-aa,,,"Investors in Alcoa Corporation (Symbol: AA) saw new options become available today, for the December 8th expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new December 8th contracts and identified one put and one call contract of particular interest.",,,,
398.0,2023-10-26 00:00:00 UTC,"Ex-Dividend Reminder: Omega Healthcare Investors, Texas Instruments and Alcoa",AA,https://www.nasdaq.com/articles/ex-dividend-reminder%3A-omega-healthcare-investors-texas-instruments-and-alcoa,,,"Looking at the universe of stocks we cover at Dividend Channel, on 10/30/23, Omega Healthcare Investors, Inc. (Symbol: OHI), Texas Instruments Inc. (Symbol: TXN), and Alcoa Corporation (Symbol: AA) will all trade ex-dividend for their respective upcoming dividends. Omega Healthcare Investors, Inc. will pay its quarterly dividend of $0.67 on 11/15/23, Texas Instruments Inc. will pay its quarterly dividend of $1.30 on 11/14/23, and Alcoa Corporation will pay its quarterly dividend of $0.10 on 11/17/23. As a percentage of OHI's recent stock price of $33.81, this dividend works out to approximately 1.98%, so look for shares of Omega Healthcare Investors, Inc. to trade 1.98% lower — all else being equal — when OHI shares open for trading on 10/30/23. Similarly, investors should look for TXN to open 0.90% lower in price and for AA to open 0.42% lower, all else being equal.",,,,
399.0,2023-10-24 00:00:00 UTC,Morgan Stanley Maintains Alcoa (AA) Underweight Recommendation,AA,https://www.nasdaq.com/articles/morgan-stanley-maintains-alcoa-aa-underweight-recommendation-1,,,"Fintel reports that on October 24, 2023, Morgan Stanley maintained coverage of Alcoa (NYSE:AA) with a Underweight recommendation.",,,,
400.0,2023-10-22 00:00:00 UTC,Alcoa Corp Shares Close in on 52-Week Low - Market Mover,AA,https://www.nasdaq.com/articles/alcoa-corp-shares-close-in-on-52-week-low-market-mover,,,"Alcoa Corp (AA) shares closed today at 0.6% above its 52 week low of $23.26, giving the company a market cap of $4B. The stock is currently down 46.8% year-to-date, down 40.9% over the past 12 months, and down 38.1% over the past five years. This week, the Dow Jones Industrial Average fell 1.6%, and the S&P 500 fell 2.4%.",,,,
