UUID,Date,Sentiment_score,Lsa_summary
cdc74713-d584-4a43-97b6-9c4c30202a7c,2020-06-11T14:05:13.000+08:00,1,"Shares of several financial service companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover."
ee3ae46a-7339-4637-9d71-6ae64b6a8809,2020-06-11T14:05:13.000+08:00,2,"Shares of several financial service companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus. The Fed kept rates at zero and noted it could stay there for as long as it takes for the economy to recover."
ac4e8bf1-2d9e-42c4-8af1-d934ccfb97b9,2020-06-09T14:34:41.000+08:00,3,Shares of several financial services companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.
7a735c03-3cf1-47ba-b55e-386a943c2acb,2020-06-09T14:34:41.000+08:00,4,Shares of several financial services companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.
3144b705-bac7-4284-8968-1c8910e6d1d8,2020-06-08T11:20:42.000+08:00,5,"'Solving A Catch 22': Noah Lets Struggling Homeowners Tap Into Home Equity, Access Discretionary Funds"
d6c4d99b-0131-4bef-b26e-6229a07d82d0,2020-06-08T11:20:42.000+08:00,4,"'Solving A Catch 22': Noah Lets Struggling Homeowners Tap Into Home Equity, Access Discretionary Funds"
b7a928d7-70a0-477c-bc9b-7858d35d1be0,2020-06-05T14:05:06.000+08:00,3,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.
c736d2a5-e3ed-43b8-929b-bf058eb86ea5,2020-06-05T14:05:06.000+08:00,3,Shares of several financial services companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy.
ef359f5d-11bf-4d95-941f-98a31d5ede3b,2020-06-04T13:45:20.000+08:00,3,"Taking A Breath: Jobless Claims Disappoint, But ECB Stimulus Greeted Positively"
66da3881-dd6b-4af8-8bd3-a710e28349a2,2020-06-04T13:45:20.000+08:00,2,"Taking A Breath: Jobless Claims Disappoint, But ECB Stimulus Greeted Positively"
eccc1b8e-1740-439e-a40a-cb6385ce6617,2020-06-03T13:52:24.000+08:00,3,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.
6fcbe303-dc59-42cb-884f-3575a423eade,2020-06-03T13:52:24.000+08:00,3,Shares of several financial services companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls.
