UUID,Date,Sentiment_score,Lsa_summary
629f61da-d2f3-4933-a5dc-3838b4100cd7,2023-12-17T04:00:00.000+08:00,4,"Eli Lilly (LLY) Rises Yet Lags Behind Market: Some Facts Worth Knowing. Eli Lilly (LLY) closed the most recent trading day at $572, moving +0.31% from the previous trading session. Meanwhile, the Dow gained 0.87%, and the Nasdaq, a tech-heavy index, added 1.26%."
72d93d69-9205-4f4a-8a8b-08f16f74bb5b,2023-12-16T20:00:00.000+08:00,3,"Weighing Their Chances: 5 Leading Healthcare Companies Fight for Market Share in the $100 Billion Weight-Loss Industry. It's a mammoth market and one that looks to be heating up with a growing number of large healthcare companies showing interest in the space. Below, I'll look at some of the top names in the weight-loss market today, and others you may not have realized could be potential rivals in the future."
37e26e65-5ae5-4755-9cb9-f62659be2581,2023-12-16T19:00:00.000+08:00,4,"3 Cancer-Focused Biotechs That Appear Promising Bets for 2024. Oncology treatments have been at the forefront this year, with biotech companies looking to capitalize on advancements in technology in this challenging but lucrative space. This has put the spotlight on companies with a solid portfolio of cancer treatments and/or a promising pipeline."
f75608ea-b808-4be9-80e0-5944f3d0ff13,2023-12-16T18:00:00.000+08:00,2,"Below is Validea's guru fundamental report for ELI LILLY AND CO (LLY). Of the 22 guru strategies we follow, LLY rates highest using our Multi-Factor Investor model based on the published strategy of Pim van Vliet. This multi-factor model seeks low volatility stocks that also have strong momentum and high net payout yields."
fa8b3939-23f5-4864-b516-1497056336c2,2023-12-16T16:00:00.000+08:00,1,"Is Invesco Pharmaceuticals ETF (PJP) a Strong ETF Right Now?. The Invesco Pharmaceuticals ETF (PJP) made its debut on 06/23/2005, and is a smart beta exchange traded fund that provides broad exposure to the Health Care ETFs category of the market."
dd9978f8-80f3-4e31-a1f8-217cd9113522,2023-12-16T08:00:00.000+08:00,2,"SOFTS-Arabica, robusta coffee ease off peaks, raw sugar consolidates. Updates prices"
d7162927-37c2-4392-a64c-9966c2a177af,2023-12-16T08:00:00.000+08:00,3,"2 Unstoppable Growth Stocks to Buy in 2024. Growth stocks have done well this year, but heading into 2024, many of them could start to lose steam, especially amid rising valuations. Yet, some businesses still look poised for much more growth in the years ahead, and are likely to continue rising in value next year, regardless of their high prices tags."
e1f79566-cb04-4b05-a28b-91e2f6d2177c,2020-06-11T09:40:14.000+08:00,4,Lilly's Chief Scientist Says Co's COVID-19 Treatment Could be Authorized for Use by September
1e8727d6-838c-4609-b5e5-cae086084f63,2020-06-11T09:40:14.000+08:00,5,Lilly's Chief Scientist Says Co's COVID-19 Treatment Could be Authorized for Use by September
624c50ee-9359-483a-9fc6-a22153cecba4,2020-06-10T19:40:33.000+08:00,5,"Eli Lilly Shares Spike To Session High, Up 1.7%, Following Report Co. Chief Scientist Has Said One Of Co.'s Antibodies Could Be Authorized As Coronavirus Treatment As Early As Sept."
19a4f0e2-078f-4a3f-a0e9-298ab6d8b510,2020-06-10T19:40:33.000+08:00,4,"Eli Lilly Shares Spike To Session High, Up 1.7%, Following Report Co. Chief Scientist Has Said One Of Co.'s Antibodies Could Be Authorized As Coronavirus Treatment As Early As Sept."
f83687bd-70fa-49c8-be54-999f4ab9497f,2020-06-09T13:49:09.000+08:00,2,Travel Stocks Lose Momentum In Pre-Market After Leading Yesterday's Sharp Rally
ca5db735-8a32-4876-8b38-193e236b9755,2020-06-09T13:49:09.000+08:00,3,Travel Stocks Lose Momentum In Pre-Market After Leading Yesterday's Sharp Rally
7253f349-03fd-4162-ab35-fc674fbcd412,2020-06-09T10:47:38.000+08:00,4,First Patient Dose Delivered For Lilly's Tirzepatide Cardiovascular Outcomes Trial
95af3434-87fb-45bc-a790-56b50660d124,2020-06-09T10:47:38.000+08:00,5,First Patient Dose Delivered For Lilly's Tirzepatide Cardiovascular Outcomes Trial
f8551b85-c84e-4b04-ac47-45498092340a,2020-06-08T11:18:03.000+08:00,4,"Lilly Announces Start of a Phase 1 Study for its Second Potential COVID-19 Antibody Treatment, Doses First Patient"
5c197486-a380-4b7c-af56-7202e45e7c30,2020-06-08T11:18:03.000+08:00,4,"Lilly Announces Start of a Phase 1 Study for its Second Potential COVID-19 Antibody Treatment, Doses First Patient"
d7ac087f-03cd-4a82-8924-e524f4c6fa80,2020-06-05T16:36:32.000+08:00,3,"Fauci: Need To 'Definitively Show' Treatments Are Effective, On Eli Lilly's Recent Human Trials"
0b7d4d5e-91db-4136-88d1-75ec84a6ddd1,2020-06-05T16:36:32.000+08:00,2,"Fauci: Need To 'Definitively Show' Treatments Are Effective, On Eli Lilly's Recent Human Trials"
48937aec-f65e-4f2c-b59f-faf969d61afd,2020-06-03T11:39:19.000+08:00,1,"The Daily Biotech Pulse: Regulatory Delay For Novartis' Multiple Sclerosis Drug, FSD Gets Nod For COVID-19 Study"
dbae739f-badd-4a11-a8ea-bb4139ef93d9,2020-06-03T11:39:19.000+08:00,4,"The Daily Biotech Pulse: Regulatory Delay For Novartis' Multiple Sclerosis Drug, FSD Gets Nod For COVID-19 Study"
aea9ea99-8e37-4a24-ab59-80df9f26e6b1,2020-06-03T08:00:00.000+08:00,3,EULAR —…—…: Lilly's Taltz® (ixekizumab) Continues to Show Robust and Consistent ...
8187f386-0e1c-40de-8d62-fddb1210d69a,2020-06-03T08:00:00.000+08:00,3,EULAR —…—…: Lilly's Taltz® (ixekizumab) Continues to Show Robust and Consistent ...
b9185c8e-cb48-45e9-8849-9d1489ebf128,2020-06-02T08:00:00.000+08:00,2,"AstraZeneca Ranked Most Inventive, Roche Most Innovative"
bf09f9b2-a50e-4060-b2d7-7e0b102479cb,2020-06-02T08:00:00.000+08:00,1,"AstraZeneca Ranked Most Inventive, Roche Most Innovative"
f5b86921-3ca0-46f0-8246-35c4eaeb5267,2020-06-01T19:40:17.000+08:00,4,Eli Lilly CEO Talks Coronavirus Treatment Progress: 'This Is An Important Bridge Therapy'
5b75b628-7cbc-4928-b166-b97630c8d9e1,2020-06-01T19:40:17.000+08:00,4,Eli Lilly CEO Talks Coronavirus Treatment Progress: 'This Is An Important Bridge Therapy'
